#node	date	numeric date
hCoV_19_Jian_JX129_2020_EPI_ISL_421253	2020-01-26	2020.069672
NODE_0000124	2019-11-28	2019.907411
NODE_0000125	2019-11-28	2019.907411
hCoV_19_Shenzhen_SZTH_004_2020_EPI_ISL_406595	2020-01-16	2020.042350
NODE_0000126	2019-11-28	2019.907411
hCoV_19_England_20108125106_2020_EPI_ISL_417259	2020-03-04	2020.173497
NODE_0000127	2019-11-28	2019.907411
hCoV_19_Malaysia_MKAK_CL_2020_5049_2020_EPI_ISL_416884	2020-02-20	2020.137978
NODE_0000128	2020-02-05	2020.096995
hCoV_19_Shanghai_SH0091_2020_EPI_ISL_416388	2020-02-05	2020.096995
hCoV_19_Guangdong_ZQ_S2_P0061_2020_EPI_ISL_413901	2020-02-28	2020.159836
NODE_0000129	2020-02-17	2020.130538
hCoV_19_England_20106116603_2020_EPI_ISL_420457	2020-03-04	2020.173497
NODE_0000130	2020-02-17	2020.130538
hCoV_19_England_20108006603_2020_EPI_ISL_417253	2020-03-03	2020.170765
NODE_0000131	2020-02-25	2020.152563
hCoV_19_Scotland_CVR06_2020_EPI_ISL_415628	2020-03-07	2020.181694
NODE_0000132	2020-02-25	2020.152563
hCoV_19_England_SHEF_BFEBB_2020_EPI_ISL_418304	2020-03-24	2020.228142
NODE_0000133	2020-03-11	2020.192623
hCoV_19_Wales_PHW28_2020_EPI_ISL_415659	2020-03-12	2020.195355
hCoV_19_Wales_PHW26_2020_EPI_ISL_415918	2020-03-11	2020.192623
NODE_0000134	2019-11-28	2019.909357
NODE_0000135	2019-12-28	2019.990261
NODE_0000136	2019-12-28	2019.990261
hCoV_19_Singapore_1_2020_EPI_ISL_406973	2020-01-23	2020.061475
hCoV_19_Guangdong_20SF014_2020_EPI_ISL_403934	2020-01-15	2020.039617
NODE_0000137	2019-12-28	2019.990261
NODE_0000138	2019-12-28	2019.990261
hCoV_19_France_IDF0626_2020_EPI_ISL_408431	2020-01-29	2020.077869
NODE_0000139	2020-01-15	2020.038683
hCoV_19_Guangdong_GD2020227_P0029_2020_EPI_ISL_413880	2020-02-05	2020.096995
hCoV_19_USA_CA_CDPH_UC18_2020_EPI_ISL_417322	2020-03-04	2020.173497
NODE_0000140	2020-01-21	2020.054877
hCoV_19_Iceland_337_2020_EPI_ISL_417666	2020-03-15	2020.203552
NODE_0000141	2020-01-21	2020.054877
hCoV_19_Iceland_338_2020_EPI_ISL_417667	2020-03-15	2020.203552
NODE_0000142	2020-01-21	2020.054877
NODE_0000143	2020-02-21	2020.139768
hCoV_19_England_SHEF_BFF8B_2020_EPI_ISL_418315	2020-03-25	2020.230874
hCoV_19_Wales_PHWC_24EDF_2020_EPI_ISL_420923	2020-03-20	2020.217213
NODE_0000144	2020-01-25	2020.066342
hCoV_19_Iceland_276_2020_EPI_ISL_417604	2020-03-17	2020.209016
NODE_0000145	2020-01-25	2020.068273
hCoV_19_Iceland_299_2020_EPI_ISL_417628	2020-03-18	2020.211749
NODE_0000146	2020-01-25	2020.068273
hCoV_19_England_20114052703_2020_EPI_ISL_420458	2020-03-11	2020.192623
NODE_0000147	2020-01-25	2020.068273
NODE_0000148	2020-02-10	2020.110350
NODE_0000149	2020-02-17	2020.128682
hCoV_19_England_20124013202_2020_EPI_ISL_418700	2020-03-17	2020.209016
NODE_0000150	2020-03-17	2020.208718
hCoV_19_England_20139023504_2020_EPI_ISL_421887	2020-03-27	2020.236339
NODE_0000151	2020-03-17	2020.208718
hCoV_19_England_20124009602_2020_EPI_ISL_418696	2020-03-18	2020.211749
NODE_0000152	2020-03-17	2020.208718
hCoV_19_Wales_PHWC_26FDA_2020_EPI_ISL_422171	2020-03-30	2020.244536
hCoV_19_England_201361009_2020_EPI_ISL_421786	2020-03-26	2020.233607
NODE_0000153	2020-02-10	2020.110350
NODE_0000154	2020-03-03	2020.170765
hCoV_19_England_SHEF_BFD36_2020_EPI_ISL_416738	2020-03-09	2020.187158
hCoV_19_England_20106003303_2020_EPI_ISL_417239	2020-03-03	2020.170765
NODE_0000155	2020-03-24	2020.227921
hCoV_19_England_20139044504_2020_EPI_ISL_420683	2020-03-28	2020.239071
NODE_0000156	2020-03-24	2020.227921
hCoV_19_England_20139044404_2020_EPI_ISL_420682	2020-03-29	2020.241803
hCoV_19_England_20139044304_2020_EPI_ISL_420681	2020-03-28	2020.239071
NODE_0000157	2020-01-25	2020.068273
NODE_0000158	2020-02-19	2020.135994
NODE_0000159	2020-03-18	2020.211749
hCoV_19_Iceland_298_2020_EPI_ISL_417627	2020-03-18	2020.211749
hCoV_19_Iceland_320_2020_EPI_ISL_417649	2020-03-18	2020.211749
NODE_0000160	2020-02-19	2020.135994
hCoV_19_England_20109093906_2020_EPI_ISL_417288	2020-03-05	2020.176230
NODE_0000161	2020-03-02	2020.167982
hCoV_19_England_20109093706_2020_EPI_ISL_417286	2020-03-05	2020.176230
NODE_0000162	2020-03-02	2020.167982
hCoV_19_England_SHEF_BFF03_2020_EPI_ISL_418307	2020-03-24	2020.228142
hCoV_19_England_SHEF_BFE9D_2020_EPI_ISL_418302	2020-03-24	2020.228142
NODE_0000163	2020-01-25	2020.068273
NODE_0000164	2020-02-15	2020.123202
NODE_0000165	2020-02-15	2020.123202
hCoV_19_Portugal_PT0015_2020_EPI_ISL_418000	2020-03-10	2020.189891
hCoV_19_England_SHEF_BFF21_2020_EPI_ISL_418309	2020-03-25	2020.230874
NODE_0000166	2020-02-15	2020.123202
hCoV_19_Wales_PHWC_24EEE_2020_EPI_ISL_420924	2020-03-20	2020.217213
NODE_0000167	2020-02-25	2020.150666
hCoV_19_Wales_PHW38_2020_EPI_ISL_415538	2020-03-12	2020.195355
NODE_0000168	2020-02-25	2020.150666
hCoV_19_Wales_PHWC_24473_2020_EPI_ISL_419414	2020-03-17	2020.209016
NODE_0000169	2020-03-09	2020.186656
hCoV_19_Wales_PHWC_242D3_2020_EPI_ISL_418164	2020-03-17	2020.209016
hCoV_19_Wales_PHWC_24DF0_2020_EPI_ISL_420942	2020-03-21	2020.219945
NODE_0000170	2020-01-29	2020.078833
